iter	Accuracy	MultiClass
0	0.7213176885	1.117021192
1	0.8760464912	0.7173443567
2	0.8975375497	0.5659902027
3	0.9054532599	0.4660798103
4	0.908960991	0.3950302859
5	0.9115208267	0.3457852405
6	0.9233560144	0.3036308735
7	0.9281286742	0.2717008845
8	0.9301277102	0.2425585505
9	0.9343054221	0.2191485447
10	0.9370110281	0.2043287939
11	0.938637506	0.1910030123
12	0.9415442989	0.1806514817
13	0.9424601031	0.1715302062
14	0.9438415014	0.1624814496
15	0.9443728354	0.1552348763
16	0.9445689162	0.1507975968
17	0.9451924973	0.1438731485
18	0.9456045153	0.1403979223
19	0.9472279085	0.1351291766
20	0.94736274	0.130189967
21	0.9477462246	0.1280019056
22	0.9491413891	0.1250657317
23	0.9492362958	0.122729794
24	0.9495335469	0.1202161117
25	0.9501121277	0.1172930887
26	0.9501166071	0.115387817
27	0.95039082	0.1140403027
28	0.9505261864	0.1129523172
29	0.9506713243	0.1111126943
30	0.9510957013	0.1095936967
31	0.9513787957	0.1079623096
32	0.951383502	0.1075389753
33	0.9511737822	0.1059444378
34	0.9516118945	0.1042979231
35	0.9516926912	0.1034376987
36	0.9525869162	0.1028721465
37	0.9527153419	0.1019878241
38	0.9524632664	0.1011679549
39	0.952527526	0.1005667421
40	0.9526647711	0.0999291038
41	0.9526743396	0.0996062872
42	0.9527671965	0.0988211041
43	0.9528005721	0.09851433038
44	0.9529123099	0.09789216713
45	0.9529955851	0.0973145723
46	0.9530264347	0.09685243884
47	0.9530835514	0.09657373936
48	0.9532312854	0.09591446464
49	0.9532360342	0.09524183216
50	0.9532954508	0.09501054848
51	0.9536484695	0.09467560528
52	0.9536507946	0.09448567078
53	0.9536388673	0.09429691607
54	0.9536532054	0.09408623886
55	0.953686599	0.09374920424
56	0.9536746694	0.09347520155
57	0.9537694907	0.09280705334
58	0.9539637048	0.09266568762
59	0.9539853224	0.0920440281
60	0.9542983299	0.09159140236
61	0.9542983299	0.0914873111
62	0.9540993505	0.09132505433
63	0.9544587883	0.09124180834
64	0.9547187655	0.09105450352
65	0.9549151984	0.09092688193
66	0.9549247082	0.09085836684
67	0.955065412	0.09060429461
68	0.9550845228	0.09047475669
69	0.9551392788	0.09027124909
70	0.9551368372	0.09021061339
71	0.9551844928	0.08994170482
72	0.955227278	0.08961752657
73	0.955227278	0.08953173443
74	0.9552392617	0.08913322158
75	0.9554802714	0.08895347843
76	0.9554826489	0.08889132264
77	0.9555398296	0.08871664545
78	0.9555540541	0.08867145238
79	0.9556732243	0.08831405753
80	0.9558774744	0.08825494825
81	0.9558774744	0.08821640865
82	0.955884637	0.0881514306
83	0.9559129273	0.08802112762
84	0.9561066446	0.08799415698
85	0.9561915165	0.08795233068
86	0.9561867619	0.08787578479
87	0.9562961454	0.08752139693
88	0.9562985407	0.08749595246
89	0.9562985407	0.08747946472
90	0.956348501	0.08728467157
91	0.956348501	0.08726272309
92	0.9564841932	0.086943263
93	0.9564865634	0.08686660022
94	0.9564865634	0.08685443392
95	0.9565198289	0.08670239216
96	0.9565340983	0.08657082057
97	0.9565913422	0.08628176636
98	0.9565960626	0.08624144051
99	0.9566436162	0.08616229474
100	0.9566869962	0.08614152542
101	0.9566483366	0.08609585346
102	0.9566435755	0.08602567367
103	0.9566941092	0.08598640092
104	0.9566941092	0.08597476486
105	0.9567227694	0.08580306127
106	0.9567251469	0.08573488321
107	0.9567227787	0.08571142732
108	0.9567204013	0.08569822045
109	0.9567227787	0.0856741534
110	0.9567251616	0.08546459709
111	0.9566841591	0.08544295442
112	0.9566936654	0.08537049577
113	0.9566960518	0.08535701206
114	0.9566912814	0.08533951344
115	0.9566936588	0.0853055063
116	0.956954507	0.08510325102
117	0.9569497175	0.08501936498
118	0.9569568154	0.08500900998
119	0.9569900661	0.08493603466
120	0.9570304798	0.0847504924
121	0.9570304322	0.0846239542
122	0.9570352027	0.08461667935
123	0.9570352027	0.08460238659
