iter	Passed	Remaining
0	457	91139
1	902	89336
2	1348	88523
3	1799	88163
4	2248	87685
5	2692	87062
6	3140	86578
7	3586	86087
8	4032	85570
9	4476	85057
10	4938	84844
11	5395	84534
12	5855	84223
13	6308	83818
14	6764	83423
15	7223	83066
16	7677	82649
17	8123	82138
18	8583	81765
19	9054	81486
20	9518	81133
21	9978	80733
22	10423	80219
23	10871	79722
24	11316	79214
25	11761	78711
26	12208	78223
27	12654	77733
28	13098	77236
29	13542	76742
30	13983	76230
31	14434	75779
32	14880	75302
33	15327	74834
34	15774	74367
35	16217	73879
36	16678	73477
37	17120	72987
38	17567	72523
39	18015	72062
40	18462	71600
41	18913	71149
42	19365	70705
43	19856	70400
44	20308	69950
45	20765	69518
46	21233	69121
47	21695	68703
48	22154	68271
49	22616	67850
50	23082	67437
51	23538	66993
52	24019	66619
53	24472	66166
54	25080	66120
55	25585	65790
56	26060	65380
57	26529	64951
58	26980	64478
59	27428	63999
60	27877	63524
61	28323	63041
62	28768	62560
63	29219	62090
64	29663	61609
65	30115	61143
66	30560	60665
67	31011	60199
68	31447	59703
69	31892	59229
70	32332	58744
71	32776	58269
72	33224	57801
73	33668	57326
74	34114	56857
75	34560	56388
76	35005	55917
77	35458	55460
78	35913	55006
79	36359	54539
80	36821	54095
81	37281	53649
82	37738	53198
83	38193	52743
84	38651	52293
85	39113	51847
86	39570	51395
87	40042	50963
88	40494	50503
89	40953	50054
90	41407	49597
91	41883	49167
92	42347	48722
93	42796	48259
94	43239	47790
95	43687	47327
96	44129	46859
97	44573	46392
98	45015	45924
99	45455	45455
100	45902	44993
101	46342	44524
102	46792	44067
103	47241	43607
104	47690	43148
105	48140	42690
106	48587	42229
107	49029	41765
108	49477	41307
109	49927	40849
110	50368	40385
111	50810	39922
112	51262	39467
113	51708	39008
114	52151	38546
115	52593	38085
116	53062	37642
117	53517	37190
118	53972	36737
119	54430	36287
120	54896	35841
121	55354	35390
122	55819	34943
123	56280	34494
124	56738	34043
125	57200	33594
126	57668	33148
127	58125	32695
128	58573	32238
129	59017	31778
130	59470	31323
131	59915	30865
132	60361	30407
133	60806	29949
134	61250	29490
135	61710	29040
136	62169	28588
137	62614	28131
138	63060	27673
139	63505	27216
140	63957	26762
141	64403	26305
142	64853	25850
143	65302	25395
144	65751	24940
145	66199	24484
146	66644	24028
147	67093	23573
148	67543	23118
149	67989	22663
150	68431	22206
151	68896	21756
152	69351	21303
153	69811	20852
154	70261	20398
155	70716	19945
156	71175	19493
157	71623	19039
158	72077	18586
159	72544	18136
160	73007	17684
161	73471	17234
162	73940	16783
163	74388	16329
164	74839	15874
165	75285	15419
166	75734	14965
167	76181	14510
168	76629	14056
169	77072	13600
170	77521	13146
171	77968	12692
172	78410	12237
173	78852	11782
174	79304	11329
175	79753	10875
176	80199	10421
177	80645	9967
178	81087	9513
179	81538	9059
180	81984	8606
181	82431	8152
182	82873	7698
183	83316	7244
184	83761	6791
185	84205	6338
186	84650	5884
187	85115	5432
188	85572	4980
189	86031	4527
190	86486	4075
191	86941	3622
192	87392	3169
193	87845	2716
194	88299	2264
195	88769	1811
196	89230	1358
197	89711	906
198	90180	453
199	90628	0
