Destination Port,Init_Win_bytes_backward,Bwd Packets/s,Subflow Bwd Bytes,Bwd Packet Length Mean,Init_Win_bytes_forward,Avg Bwd Segment Size,Total Length of Bwd Packets,Fwd Packet Length Max,Flow Packets/s,min_seg_size_forward,Flow IAT Max,Bwd Packet Length Max,Bwd Header Length
7999,0,20833.33333,6,6.0,1024,6.0,6,2,41666.66667,24,48,6,20
80,28960,0.19544940003767863,0,0.0,29200,0.0,0,0,0.7817976005478126,32,5115553,0,40
444,257,17.392808572433438,7879252,3799.3803722467474,257,3799.3803722467474,7879252,4627,40.74319005708307,32,995379,15361,66380
80,229,0.070368577,11607,2321.4,256,2321.4,11607,20,0.182958301,20,67600000,8760,112
80,0,0.028390616,6,2.0,29200,2.0,6,231,0.179807237,32,51300000,6,100
444,736,1.4838255865696368,909,10.965236330917312,7734,10.965236330917312,909,1449,2.919472065114796,20,28599998,251,2180
52822,0,20408.16327,6,6.0,29200,6.0,6,0,40816.32653,40,49,6,20
80,-1,0.0,0,0.0,410,0.0,0,0,0.263271344,32,7596725,0,0
80,-1,0.0,0,0.0,29200,0.0,0,0,0.11089927136987517,40,32100000,0,0
21,0,4329.004329,0,0.0,229,0.0,0,14,12987.01299,32,128,0,20
20000,0,19607.84314,6,6.0,1024,6.0,6,2,39215.68627,24,51,6,20
1287,0,13888.88889,6,6.0,29200,6.0,6,0,27777.77778,40,72,6,20
444,242,17.63204395024058,7878131,3746.97097769263,242,3746.97097769263,7878131,5792,41.04505267661498,32,995393,14380,67292
22,247,2.6631444916109626,2745,88.1613927708127,29200,88.1613927708127,2745,640,4.506850193543154,32,2313501,976,1004
2119,0,19230.76923,6,6.0,1024,6.0,6,2,38461.53846,24,52,6,20
15229,0,2.111968101,36,6.0,229,6.0,36,6,2.463962784,20,2825763,6,120
444,2916,3.482043116269377,2430,6.0,2671,6.0,2430,961,6.964086232538754,20,50903393,6,8101
80,235,0.047621738094623424,0,0.0,229,0.0,0,16,0.14286521380597472,32,21000000,0,32
80,235,0.7933763524303182,1840,460.0,29200,460.0,1840,495,1.5867527053254076,32,5002562,1840,136
444,235,17.378083491654465,7880059,3802.0364868277957,235,3802.0364868277957,7880059,3820,40.834591174488395,32,995269,16189,66323
